projection_id,value
pts_glucose_component,9.9999999999999929
pts_pep_component,9.9999999999999929
pgi_forward,4.8608611464968252
pgi_reverse,0
pfk_forward,7.4773819621602824
fbp_forward,0
fba_forward,7.4773819621602815
tpi_forward,7.4773819621602815
lower_glycolysis_gap_to_pga,16.023526143167597
lower_glycolysis_pga_to_pep,14.716139568742824
pyk_forward,1.7581774441067948
pps_forward,0
pdh_forward,9.2825325991666201
tca_citrate_isocitrate,6.0072495753503397
icdh_forward,6.0072495753503405
akg_to_succinate,5.0643756614821038
succinate_to_fumarate,5.0643756614821047
fumarate_to_succinate,0
fumarate_to_malate,5.0643756614821047
malate_to_fumarate,0
malate_to_oaa,5.0643756614821038
oaa_to_malate,0
glyoxylate_bypass,0
oxidative_ppp_net,4.9599849445746385
gnd_forward,4.9599849445746376
rpi_ru5p_to_r5p,2.281503094067121
rpe_forward,2.678481850507517
rpe_reverse,0
tkt1_forward,1.4969837572615603
tkt1_reverse,0
tala_forward,1.4969837572615603
tala_reverse,0
tkt2_forward,1.1814980932459582
tkt2_reverse,0
ppc_forward,2.5043094703687232
ppck_forward,0
me1_forward,0
me2_forward,0
acetate_overflow_net,0
pfl_forward,0
gln_to_glu,0
glu_to_gln,0.22346172933182773
glu_to_akg,0
akg_to_glu,4.5418574638656253
glusy_two_skeleton_production,0
biomass_akg_product,3.5989835499973912
succinate_import_transport,0
succinate_export_transport,0
